"Exception", "Description"
"AttributeError", "Raised when an attribute reference or assignment fails"
"ImportError", "Raised when an import statement fails"
"IndexError", "Raised when a sequence subscript is out of range"
"KeyError", "Raised when a dictionary key is not found"
"KeyboardInterrupt", "Raised when the user hits the interrupt key (Control-C)"
"NameError", "Raised when a local or global name is not found"
"NotImplementedError", "In user defined base classes, abstract methods should raise this exception when they require derived classes to override the method"
"SyntaxError", "Raised when the parser encounters a syntax error"
"IndentationError", "Base class for syntax errors related to incorrect indentation"
"TypeError", "Raised when an operation or function is applied to an object of inappropriate type"
"RuntimeError", "Raised when an error is detected that doesnâ€™t fall in any of the other categories"
